 Procedimentos hospitalares do SUS - por local de internação - Brasil
Dias permanência por Unidade da Federação e Ano/mês atendimento
Período:Jan/2010-Set/2021
"Unidade da Federação";"1992/Mar";"1993/Mai";"1993/Dez";"1994/Jan";"1994/Fev";"1994/Mai";"1994/Ago";"1994/Nov";"1995/Jan";"1995/Mar";"1995/Jun";"1995/Ago";"1995/Dez";"1996/Fev";"1996/Mar";"1996/Ago";"1996/Dez";"1997/Fev";"1997/Nov";"1998/Fev";"1998/Jul";"1998/Ago";"1998/Set";"1998/Out";"1998/Dez";"1999/Fev";"1999/Mar";"1999/Mai";"1999/Jul";"1999/Ago";"1999/Set";"1999/Out";"1999/Nov";"1999/Dez";"2000/Jan";"2000/Fev";"2000/Abr";"2000/Mai";"2000/Jun";"2000/Jul";"2000/Ago";"2000/Set";"2000/Out";"2000/Nov";"2000/Dez";"2001/Jan";"2001/Fev";"2001/Mar";"2001/Abr";"2001/Mai";"2001/Jun";"2001/Jul";"2001/Ago";"2001/Set";"2001/Nov";"2002/Jan";"2002/Fev";"2002/Mai";"2002/Jun";"2002/Jul";"2002/Out";"2002/Nov";"2002/Dez";"2003/Jan";"2003/Mar";"2003/Abr";"2003/Jun";"2003/Jul";"2003/Out";"2003/Dez";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Set";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"Total"
"11 Rondônia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;188;-;-;155;468;1269;5037;9791;16824;32026;31915;34827;33622;35662;32279;33044;33175;34040;33677;33721;30729;33687;33463;36784;37845;35382;36207;33759;36280;31837;34294;33965;29852;37039;36715;39656;36243;35559;34573;31626;32279;31479;34275;34953;31910;38423;37761;41727;41380;40530;37545;40411;42586;41029;44075;43406;39749;43072;39576;43086;42597;46023;43362;43604;44632;43687;43040;41455;39793;42352;40201;44370;43899;46680;45016;44359;44875;44323;46073;42995;42383;44141;42597;45530;46590;48536;47733;42829;43263;42020;45016;39770;38390;41935;41478;47820;44997;46462;43729;45605;45712;44226;47599;43958;44337;45751;43322;48945;45334;50844;46053;46752;48739;45143;46128;47223;44105;46810;48124;49815;49172;50449;48040;47986;48776;47593;48766;47795;46984;47298;47018;37829;34323;33571;36084;39830;42465;38628;40724;39413;39332;42877;39360;49799;47302;49229;42449;36573;24037;5473;5808722
"12 Acre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;307;-;-;-;-;179;197;682;2482;4911;10346;19535;15959;19296;19341;18740;18011;17677;18213;17645;18596;18138;17377;21306;18511;21035;20456;22010;20115;19834;20887;19049;20291;19036;18683;21070;19680;21448;19557;20593;20615;22323;19573;20200;22027;21046;18405;21420;19229;22524;21600;19673;18917;21154;20374;19362;22140;19801;18032;22169;20081;20773;21575;21160;21342;20080;21697;18639;20625;20739;18445;22111;18185;20480;20233;19919;20091;19267;20681;19077;20304;19363;18735;20307;20145;21152;20908;21794;20617;20839;21225;19184;19405;18542;18809;20054;19745;19955;16640;18798;19698;19546;21004;19978;20083;19122;16711;19176;17227;19365;19089;19887;19384;19438;19357;18095;18720;15233;14585;17517;15727;16696;18174;18800;19931;18307;18977;18969;19992;18900;17917;19329;18868;16774;13068;12823;16463;18224;16861;17120;18362;18122;19735;21025;20226;20091;18877;18881;16877;13924;6552;-;2711305
"13 Amazonas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43588;-;-;-;243;-;-;-;-;-;-;-;62;613;-;-;-;-;104;756;2647;16764;26359;47280;62715;56227;65531;65494;63136;63156;63740;65445;65019;66732;63014;59675;66561;65255;74127;67892;64539;65424;63179;64734;62203;67079;68338;54278;65684;59521;75838;70426;76250;70810;72500;71115;63087;67641;65610;57155;75217;61894;68162;68679;72966;67965;66764;64970;63216;66187;63874;58046;65683;57412;63983;66824;63361;63193;66530;65239;65458;70185;67097;62952;71984;66080;76607;75171;75462;76660;77093;74121;72399;73750;68840;67004;71916;69275;78722;77064;78305;74504;74959;72591;66567;72654;63440;67657;72354;69332;76093;76356;83259;80668;78195;80369;75660;79439;75626;73343;78460;72766;80635;83369;85514;82459;86078;86455;79792;84322;78261;75845;83676;79387;89542;84618;87165;83220;86875;87097;80866;87692;82681;79236;87904;81471;77006;65161;73248;76072;82261;84699;83845;83787;81668;85387;107333;91999;100473;91069;94177;86214;85851;60937;26075;10429570
"14 Roraima";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;160;-;7;466;1824;3665;6488;14154;11623;14109;12693;14962;14757;15693;15594;14454;13405;12405;11534;13250;10533;11264;11556;12132;13127;13157;13508;13293;13764;13139;11368;10913;12412;13497;12801;14550;13128;12575;12776;11044;9430;11927;10624;12663;11400;13118;13116;13699;14766;14220;13553;13134;14032;13197;12517;13258;11643;14252;13379;14007;13034;14398;13471;14551;13995;15691;14466;14821;13438;14910;14313;15556;15946;17187;16503;15642;14619;15191;14842;16755;15371;17667;15535;17579;18447;18259;18266;17408;18481;17187;17461;17890;17189;19405;18629;19368;19288;18513;19564;18845;18556;18479;17759;18641;16610;18734;18024;19938;19616;21232;22499;20087;21686;19705;18906;20817;20846;21704;19733;21938;19943;22231;22622;21988;22695;22655;21710;23080;20703;18861;14218;16723;16717;18235;19711;17862;19637;18785;19678;24171;23993;24005;22194;23930;24530;23328;19038;7770;2325919
"15 Pará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;304;-;-;-;-;33;1189;3719;20498;46492;104260;164648;158345;176110;164032;172251;163426;157101;167583;162520;161221;157482;155188;169711;159474;175353;160481;165133;154331;146923;160109;157875;157895;158655;150164;162702;152358;172756;163621;164667;148274;140174;147078;151165;151512;146563;134947;160800;146680;162724;168064;167075;152748;153537;156271;149594;155532;149226;143795;162896;151538;167116;165608;167052;157769;163148;162901;160878;156319;157777;149272;156691;143795;168991;161750;167341;155077;153712;151085;149124;153751;146316;141682;152765;147363;167513;160827;162246;154182;154120;163671;162206;156465;150378;139971;166181;147318;175297;158487;175321;163987;163087;170343;165345;167646;165946;153257;170857;153996;173203;177734;178142;172388;168429;173908;166464;171965;159261;155706;170315;156934;167508;160773;161082;140889;171403;171032;165814;171655;163761;159969;171221;160551;153739;117304;143489;147130;154742;156124;149319;160344;150166;150516;161017;151700;190183;169644;171109;154392;125416;73566;13954;22378694
"16 Amapá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289;219;306;461;2248;5615;9587;15639;14458;15825;15953;14922;14633;15044;14652;13010;13561;12576;12092;14877;13365;16143;17317;16557;14927;14863;15853;15193;15476;15146;14134;15324;14448;16815;17089;17613;16252;16744;16985;15538;16445;15334;13792;18250;16773;17506;18673;18165;16187;16430;16858;16142;17788;16011;13565;16195;16414;16175;17165;16000;15164;16043;16098;16243;15499;13733;11026;14151;14231;15824;15697;16445;16576;15645;15632;15110;14862;14498;12981;14708;13644;15308;14407;16155;16144;15398;14490;14134;13875;12933;11944;14715;14287;16386;15701;16668;16258;16409;14740;14621;14178;12882;11231;15465;13690;15318;16228;17735;17419;18060;18036;16930;17485;16454;16365;17199;17452;19060;20494;17906;19181;18340;15646;17192;18011;16139;15144;15508;16710;14267;9635;12548;13463;14185;15415;13429;16191;14274;16086;16890;15405;20915;18412;18885;16706;16348;10269;2982;2207763
"17 Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;614;-;-;-;7;673;1303;1175;3711;13081;25800;38973;35518;42686;39513;39226;35861;37582;39790;36331;38151;37680;35376;39303;36987;42804;40845;41036;39505;37456;40155;40894;38956;39267;37722;39657;36554;42558;40241;39430;38066;38057;39184;35425;36064;32420;35472;36419;36014;38305;37693;35515;34211;34148;33459;34220;34673;33492;33057;33493;32034;34770;35928;37463;36924;36064;37669;35502;38436;32983;33098;31458;30319;34765;35630;34076;34026;30746;33405;31247;31316;28311;26745;30603;32687;35074;35251;35335;33503;33628;34681;32129;31879;30829;32100;33691;31704;40098;34647;36412;35713;33331;33701;31780;30616;27744;30494;31956;26833;30944;32894;35523;30908;31236;29953;30608;33773;36962;35521;35480;33368;37273;40657;38932;38742;38384;39829;38446;39588;39939;38420;40731;39075;33459;28719;28392;30165;32546;33067;33423;34290;35193;35917;36354;34656;36350;35663;35300;22002;15132;7820;1062;4931851
"21 Maranhão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;84436;1065;84;-;-;1248;365;1754;-;5765;2875;-;1247;2344;1370;4152;4898;5647;1704;5028;11600;28898;53007;88884;148170;135763;154301;146301;153683;143173;149328;151516;140691;144011;138910;132380;154752;148900;155243;157165;152381;139030;146465;158928;147173;146273;147875;140050;153246;137424;156379;146996;157840;141222;144674;149984;133097;133953;127247;119291;192815;142594;149630;153355;157723;143927;149483;149342;147883;160133;146278;144931;162328;157633;166959;162582;158618;153193;157808;157872;153087;163366;154692;144804;179849;141444;175654;171543;172869;155281;164273;161610;159104;161130;153286;146487;168966;163649;169925;170339;175396;167320;162336;177176;163702;155243;145954;131676;167835;158544;181361;164687;180211;169076;172926;172504;162954;172150;161649;159113;190705;165550;184532;181420;181494;167320;172020;173480;169856;180028;161883;156196;175578;158986;178943;178430;185978;171736;184493;176551;175096;175613;169945;166029;181249;167037;165920;118012;138336;154561;161102;162474;162763;167939;158056;154924;165082;162886;191202;184150;193607;180426;149110;111053;45292;22645548
"22 Piauí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5444;-;1;301;-;730;-;-;-;75;365;-;365;608;365;-;60;206;990;3019;9254;16199;26228;45225;87986;78192;86126;79977;84064;76983;73705;76638;73253;80396;72749;69854;123234;77301;84186;82160;76012;70835;72233;74758;74641;74536;71851;69882;78478;70144;76506;75213;80401;74083;75065;76942;72357;75210;68522;65297;79468;76032;78029;85563;82773;79674;81350;79828;76570;79245;75623;67998;87089;73252;80720;81795;83093;77794;82165;80683;77030;79739;70306;74723;80227;71868;80846;85966;79938;76983;76831;79763;75972;77864;75945;73316;83773;78163;86105;83729;83806;81495;79785;83377;79826;80811;78083;73308;82521;78438;89127;84130;91609;85492;82521;84659;78945;83904;82812;77655;86436;77181;87919;92294;92429;84704;86409;87866;84312;90654;82140;81887;88594;84048;90667;88427;93450;88689;88778;89645;88546;94597;86671;82930;87613;83678;73004;54076;62003;65174;72342;74543;78066;80640;78738;77094;80855;76384;87733;89035;89750;79224;68473;57320;33178;11337536
"23 Ceará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27101;199;640;821;1233;1642;185;1247;1632;1642;-;49;2686;459;2090;407;2473;3029;3194;10622;9781;31343;66713;127945;204416;184293;210574;206331;219819;206396;203101;210387;198972;206041;199032;196339;212944;213540;223742;209744;217883;210667;203245;212743;200048;206926;193416;188153;197448;185576;203245;246032;213207;193798;186516;196123;183655;196029;184173;170485;205074;187680;206004;217646;221749;204702;209867;209553;204760;208990;198824;194512;224398;204138;222307;229064;232897;220401;225359;223975;220778;227530;210742;237201;221444;199197;238866;236763;236785;229788;231787;246843;224289;234463;215388;204861;218103;217019;232786;226911;232063;229725;220820;224944;212213;215228;205274;196936;218299;207461;247008;226761;231871;222805;230178;226203;218468;231454;215569;212001;235159;209488;235775;250238;249318;232412;237401;244897;221014;246348;227601;220792;250948;243606;248856;249433;270330;239782;254184;244063;244125;254762;242511;233975;248183;236341;215752;169840;193033;200967;216830;213122;220825;223957;217489;212474;221509;209302;266173;275044;279556;240101;202183;149414;64401;31044411
